Title,Company,Location,Link
Software Engineer,Fast Enterprises LLC,Indianapolis Indiana Area,https://www.linkedin.com/jobs/view/1449512204/?eBP=CwEAAAFuH5XrZ4yqZKsfEnl9uiBGBCXYa4-xPwkXAPHIItk-uHsAIIyqJvzJP4r78Uw-UM4vZ_FVWMaFj3N98xhv-1y32YcMKoFwk8RM0bxmkKzF3_PVpMgqplj_YLeFor3Ddxy3h26Pe4nhZCxBpllpMgA6khoANyM63we7AjcknxTByVCtFRPC_wJJzWHu_P2r2HatJYVhCA3SHUOt-BoE4eowhfsdYNVSEwDcbmSZ9Q8kM1JKMnp6bHaRa5AAR3KPrsL7zkDH_CsJKpucmuUGrkaahHal_HHKabtf0mh8RVLr_xdgAW9Idcx2ezPwVjn_VcuMTamNYa7JM2oN7Yz5oaId--oMQOPKxmmRiuww0jCrS1O9QL-S6zfu1HWNY173rs2HFBzILPBY1Q&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&spSrc=CwEAAAFuH5Xrk-aW5JNglUuR0slZl_Bfbd72GtIxYJx4j-CphwMvzCvfRKvZHnArLD-BXgllgUq0m4IKcy8-rB0uuVo&trk=d_flagship3_search_srp_jobs
Software Engineer,Theoris Services,Indianapolis Indiana,https://www.linkedin.com/jobs/view/1538175058/?eBP=CwEAAAFuH5XrZyE562VIpyhh2jIfbqrd_W7u-MjS6dJqAUZ-XyABp_4xSLukow3wVwNn9IWJr4Yb9tiG0xeYnfA9n1TZTkfXOM5HCrZ6ujG3D26JWVrSkR3kznZeSno9hvkO7mGa02vYa36lihFpIRgQbCEYwKSrJ-QiMQfTGEgpBTSfzqMkC6iTQ3na5xm-M2WgAmKoBwe6mOZD2Ws-v8qu3eBb7YJIrMGuiFAMx8vs4TgyJIzWhwj4G4DVCz1JAYyaZ_4Ti6axq-cbZBEeRVstoe2n-Xx5yB0g2zVXz4d7aNeeMVOvG-jE6gujjmo56SvlPzNN-ngi2CPyZhmtSg8zivxTE1FfV18Cf3nvrtrQ6t69kTQ9fGmuF0cyxbiWhv5E070W4P9GfvNtTQ&recommendedFlavor=SCHOOL_RECRUIT&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&spSrc=CwEAAAFuH5Xrk9nXvarSXdacVou4dM7-fGJ_V4rJIlKlsSnqpEgr0pOvW6Q3u-tgDx9UpWPLUayIjMENW14rV6JwK6w&trk=d_flagship3_search_srp_jobs
Software Engineer,CyberCoders,Indianapolis IN US,https://www.linkedin.com/jobs/view/1535873401/?eBP=CwEAAAFuH5XrZzbUrjA5CZjQk_MAxExF_cgB6D-KZmQ03g97TP_PAfLx5_kIVi3K-Z_qg0TgVHDROOLLBE1o1TbpLe7D-06IO036dfU7cItwht5ECv0U3YtW9MA0atRArtE0xpjxQ2fW1opc10m5xB-ehVsLDhZr6RB89GhzcB5fUNiC3Oert2DBavnz1CXoLX5X4Xrn7eDByCSeJIEt_w1Iod6Pbkp6SCr3TYSQyRqQPKnWLORHj30ax4HipBZbSRQV3MAcbKioUlPkTngTl9NqVtmPR2SMIMeVbxHzLSuEpKLyRPRGjD05NnTSqjtUz7S625NpQM7W2BptsohE-2NztU7xEww2FT8YDJSzlX6oCcK3Y5kk2rS5kzBz4PrULQ6veFieTWB0OUE7uw&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&spSrc=CwEAAAFuH5Xrkzn9mdo5V0BkuFIXPvpfZ0E2ofanqKjCsR6KZ3H79XIo5MMri5dJVGCkiEuu-zp71tEdpL2HSD-qHX4&trk=d_flagship3_search_srp_jobs
Associate Software Engineer,KAR Global,Carmel IN US,https://www.linkedin.com/jobs/view/1545837915/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=SCHOOL_RECRUIT&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Associate Software Engineer,Blackboard,Indianapolis IN US,https://www.linkedin.com/jobs/view/1563256257/?eBP=JOB_SEARCH_ORGANIC&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Genesys,Indianapolis IN US,https://www.linkedin.com/jobs/view/1529857541/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Revature,Indianapolis IN US,https://www.linkedin.com/jobs/view/1568555922/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Junior Software Engineer,Jobspring Partners,Indianapolis IN US,https://www.linkedin.com/jobs/view/1516726018/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Python Developer- Apply now!,Digitek Software,Indianapolis IN US,https://www.linkedin.com/jobs/view/1568825182/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Senior Software Engineer Threat Intelligence,Proofpoint,Indianapolis IN US,https://www.linkedin.com/jobs/view/1538189282/?eBP=JOB_SEARCH_ORGANIC&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Anchor Point Technology Resources,9510 N Meridian Suite 200 Indianapolis IN 46260 US,https://www.linkedin.com/jobs/view/1309443883/?eBP=JOB_SEARCH_ORGANIC&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Senior/Lead Software Engineer Application Development,Salesforce,Indianapolis IN US,https://www.linkedin.com/jobs/view/1524833083/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Sigstr,Indianapolis IN US,https://www.linkedin.com/jobs/view/1565077653/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Johnson Controls,Fishers IN US,https://www.linkedin.com/jobs/view/1538107375/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Developer,Counterpart,Indianapolis Indiana,https://www.linkedin.com/jobs/view/1555781430/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Developer,Elwood Staffing Services Inc.,Indianapolis Indiana,https://www.linkedin.com/jobs/view/1536990334/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer (Fullstack Java),DMI (Digital Management LLC),Indianapolis IN US,https://www.linkedin.com/jobs/view/1526886434/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Project Lead The Way,Indianapolis Indiana Area,https://www.linkedin.com/jobs/view/1566801210/?eBP=JOB_SEARCH_ORGANIC&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer II,Raytheon,Indianapolis IN US,https://www.linkedin.com/jobs/view/1483129681/?eBP=NotAvailableFromVoyagerAPI&recommendedFlavor=IN_NETWORK&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer In Test,Kerauno,Indianapolis Indiana Area,https://www.linkedin.com/jobs/view/1578047702/?eBP=JOB_SEARCH_ORGANIC&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Developer - Data Analytics,BDO USA LLP,Indianapolis IN US,https://www.linkedin.com/jobs/view/1556469389/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Sharpen,Indianapolis IN US,https://www.linkedin.com/jobs/view/1452121765/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Healthx,Indianapolis IN US,https://www.linkedin.com/jobs/view/1556972744/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,BlueSky Technology Partners,Indianapolis IN US,https://www.linkedin.com/jobs/view/1574588790/?eBP=NotAvailableFromVoyagerAPI&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer,Brooksource,Indianapolis Indiana Area,https://www.linkedin.com/jobs/view/1544873297/?eBP=JOB_SEARCH_ORGANIC&refId=5225ab2c-36ab-4685-913a-fca408ed70b8&trk=d_flagship3_search_srp_jobs
Software Engineer - .NET,eimagine,Indianapolis IN,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BLA4ILphXfdQcIXjXDA-KGn43iHGAYirgf3yvWMQ5K_kgvLx-kgbBqzeIb5CI_hJ9xOcokwMcgz_itW3McclBG6WHGBL--hk424L3-5q6c8CccTvC06mfwZHjldVAXBFpc-_oTTuSDc8yLacit-hsej7iOdii7hLUKOQP0lhegR-tYfQyVLJHXUSngAlf93wdfqm6H_S1T2aJXQOQWEiramirHPTTwQ8BURhqgJxuSyUpTV6REkUPsuXowg4H617QOuZh7zW_mjhI5LzU7SjqplaJlzoB_WF0UdR6SBM9apgkzJnwQ8QKmxTG_k8Y1eHBzTejLNcZWzyexogIwCFx5xOWfwE1ogdDKCEclEjG3amLxAEYJMWQ6Fg9HiNxNnAx1WIV9oLbyy0WjSvUvpct1bXbGr4nIp_rNnMeUDEHfb-i6GaG8R4NodhwM7H7Fdw8pNQnzhjYOGw==&p=0&fvj=1&vjs=3
.NET Developer,Seen by Indeed,Indianapolis IN,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZz6G2ZVf9e4MubFRPABl2qOeN_fEvoN4UYUcOajtZXpFw0xbQftrdrFHooPpQKqv3V1Kq7H48TwhQQ-riEBABSQcZlD3kCMsUFg8oSWa16_91iVb2Z-5d8Lhuwb01Jq1Ohoo8YYxxElZtIO1_tb4WE28TzH8ERDVA3_AQilmRmCJ9Hr5hxkcwwGmmy-3CEP-13PIvJOH9I20-I6Trv9FtWiRv8XmWgHyA32va_VYNGZVW74a7P81_x_koU_bPaAt_RvBBlXJ5azpO5KnINYt-47IT1VH9yS1DOFt_9QLjEwPsND5SzitYQX3klcDl9rwvDlSIJO0IaMAtgZjax2CF3jJBdjYrq-v8S0MQt0tU34OJ4zsUb54fElm3GK110fm1xwoQ3-QOumqWbVcqmoZnJ33zD49x683AqSh0v4RarZnAX_UOK7u_yMlfW8VoA67UnKjrfVPhXKWodyqh2STVc53iOuvbxaADDV271uabOsgciXzCdgu14OlgKgZ7fR0wL1GUv-nhFUQijATavUTpNk=&p=1&fvj=1&vjs=3
Javascript Developer,Seen by Indeed,Indianapolis IN,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZz6G2ZVf9e4MRe4150u3MmixxEj7OuQ-VaauKycHWYIfJwldfsZ9xjevJIrjLUibcUCWPepNhH2j25AWOv-3E_McflEtiKLtVDgrASYBMWfWzrB5sTDbEVtc9q1nu0zcmm3ySPb_4fuBlITF-vFEKMbzu-HwrLMV3AhJG9-gKkwakbemvBnvXaP4eygle22QtdtvxlKRbY7ljn97K8LTmW6USrZ2JfdEYLR1R83MZeMaxcF8lm_AYJ2zsOa2eL9JuL6OsTMXl-cCY0_yQ6x2UhbPwlqahq7dSBrZmGNo75EssfnTprXpHR2QB8tvpepuASyZE1fnOv-yBU1R6qjb_HPKMufnzjMLiWeu2mlQdHf53LfZYA-mdXaR-wE3zGR4qI7efs_drn4Nqp4PWGSDVL9gZ7oTRDdJZZROnl7Em9SqosGu2j4-nIdFmlXuKqWlgAIXNOSE-RqRRH9usK3z-ZwfyIIj2Q2F9D8TIDG0WUaQTgOZss6TWdOmcvyeGk0UK6lhxPFdt5XUxpNNe1FzlP8jpdk2XdeukupIIABqKttqrwwVQwZMr-y_Cw4XtuSBjA==&p=2&fvj=1&vjs=3
DevOps Engineer,HomeAdvisor & Angie's List,Indianapolis IN,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DrehZonse0yPWw6vpKGVNxkYCMHL9r8n99798Bxk4cz6LQmxv5g_1ABUFeq3XSKvAmlMNW655Styjrjax7-hB-5WTMxJROFd6LGbdX72_q8U64d9w4HRl10vAnZCT5bXvXjJKB12CtLH0q4TCrQsbUtK4lTlAPC7QSHIFdZj6GW4KS-f_9KjV3ymo0_UxGd9KsRjyVXDmZ3Q1h3dky1YF7TO1dkPyHBjGI2i6bR03o2TeWOzEGipO3HF2anQAzKFXk34jNGx62lLt5toRfbteY1NZ_22RrzfDsreIwPO_o8ZjbOsuJD77eAm6afDnu8NMbVkoUYXjfdctCS5WLxZIpa9UVh93z96PJGEmzsnRhdMXPRucaEVMBEemzkWMRHr5EWe3lSOHG4g==&p=3&fvj=0&vjs=3
Software Engineer,Liberty Mutual Insurance,Indianapolis IN 46201,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt9NTAJmjNG3t-XIotw0FR0wHga9ogO1J_PoORSoSulOY6naxCT8_keG683rjoJMGpf5Y8A3UUuaBAFxSsrruios3F1AaJzCbPxJ5v2lNQR7-KBinT_oG7ZKORfI5ZmuGCqGIVryX6_NXfwTvV7wrp3xN51pujidMTOudnAjPwJbjHWJzPjAcJN2mlbc-mIkxPjXRvPlelEZ8D-1MZ4kYbfSBnynCsUOjN7qmLae3LPFw3bKjNI7KPn2Cr4quZ6ZuluPuKpA5L8Cl1upHfLxp53mN0qVP8q_VVjDmQZCPZAuAwv5XIQHr6Vc8_LO6Dk7nhrinknmnxda0FIeTZ2ye9ZO07FMhRRlo5BzfeA6t-zi4ewRss7OL3HpFT1AU1Go64YRsbuT1tt62XZMh63H8biFOneoYMtiAxsN-rbPpHI9J6pSOU6GIMmDWw2PkkFfnQsUHCy_3c6B5m3uRFvkWdSNe4CifLPWYcyI4Cr-DHyyqQFdBx1Kv3dLaeLXAI3uMg0JVpiYXBzlHarY2rbwCS2v8S32iBQMNdLzh1zFcp59_a5zuK0C7ZwQr0Slly-dssDRxfyDvWRjnDQuvFuHwDFIZnYG2hhSJ63oJ030YZHDJVEdzX0rhL5AD2PcU6HwvBKmRzjFd21lN7W2sQ5v-r5glfg7PMqOHBWwhDNxKCfcu1lKaTjULa5WPkRrmV3M14zvmH2OoTUrtDVZmz6CaU5YEcdUyfJ7q3sKGi1c-sDvZqSVsIzGhhoEwmpPe20AStw==&p=4&fvj=0&vjs=3
Web Developer,Jackson Systems,Indianapolis IN 46203,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BnoO2kAkD682uMdseTHnM73jGlP9XLgCX4YX7x5y1_hpxPksQpRcvWK8SRK3b2Pp81BmXvn2cf5cQ_8sMbrX5UwhZaZk-Hflx7kIl0fP6qEK6LMnqVpFF9piMeAajexQB1hoRYap7XX5uEr7lveNfXeb5TYt2GZzCrAhczY-uH-t5eRuhq75EbMVoeK1cDiWfTWYH3Iqgmjn015h_AuIUI_hpwnfTJ-6SW2MWKCBds6JWNkLuZVM6uRkQhK-pyloHczODn7PPYmfVlg8lWo7OmtOzgLUnF6Pe4v_fyyj4zxW-YoQuQTvZMg4WClEISjwmjmJKNI5Aa3eEEDTbis-7Widfex_yjTfw4ETmbiNSy1VUVCAYO4jP21ZEIT84baN3d62510VQ3elC-qYJ59fMr1YzBi3n2jA_wD3BWFsQhvfqvVX6xa5ds39VUZC80Wes=&p=5&fvj=1&vjs=3
Entry Level Software Engineer,Revature,Greenwood IN 46142,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dg-R2-KOJT8hF4mRkIiG4I_V-08Bd66hdbNKaMfidDc7iX-SR5gBm8YznBCoD_q4vg0ANQtvMqlrV2PPZs32HZ_IQQK_hW-gw4s0Zfu0aacN0dXCGH0RVJPLk6K8k58-PK1tSvoEbsCg8wOUSwAKoGiX5Dd-BMHe0HrlNbBkd-jV_rQRtcsi3-u3h2XbkuB3WeSjgP1dpfyMs3FmS_Zpw-pNYEzaN-MZ1c1swiZ5dCkKWLQqqrm6fp9yqTGV7g0c2LUfvKK3_t1HXeolyhAsNqZOI_-i4zkDX0mLAqSKkg8CYBz3N7F6Af9hl3GMsA5DexNy-iSPRZgQNgjg5AajsnPhEczP_liAnMWe5XkxwLIARnUpWqg4YaQmnRBgkjs0mLv3vojBm_yzAhm7t0DqIF8SLY1U4jK0k=&p=6&fvj=0&vjs=3
Associate Software Engineer,Blackboard Inc.,Indianapolis IN,https://www.indeed.com/rc/clk?jk=baa202808524c1a5&fccid=79d1c29014ea06c2&vjs=3
Entry Level Accenture Technology Software Engineer Associate,Accenture,Indianapolis IN 46204,https://www.indeed.com/rc/clk?jk=1047be82ea9181a9&fccid=a4e4e2eaf26690c9&vjs=3
Salesforce Pathfinder Software Engineering Internship (Janua...,Liberty Mutual Insurance,Indianapolis IN 46201,https://www.indeed.com/rc/clk?jk=bd9d17eeca8e21f2&fccid=bba15db4d8763697&vjs=3
Software Engineer - React,LifeOmic,Indianapolis IN 46202,https://www.indeed.com/company/LifeOmic/jobs/Software-Engineer-694a5b5fe6d4781e?fccid=7045551c294ce998&vjs=3
Associate Software Engineer,Veeva Systems,Indianapolis IN,https://www.indeed.com/rc/clk?jk=c531a57ea45c8560&fccid=353eb997fc901045&vjs=3
Software Engineer (Entry-Level),Walker Information,Indianapolis IN 46240,https://www.indeed.com/rc/clk?jk=daf81488fb0c4a14&fccid=327545448f75c6b9&vjs=3
Entry Level Accenture Technology Software Engineer,Accenture,Indianapolis IN 46204,https://www.indeed.com/rc/clk?jk=7602e9d2e43e4634&fccid=a4e4e2eaf26690c9&vjs=3
Software Engineer,Blackboard Inc.,Indianapolis IN,https://www.indeed.com/rc/clk?jk=04f6e4c6bc560b65&fccid=79d1c29014ea06c2&vjs=3
Associate Software Engineer in Test,Blackboard Inc.,Indianapolis IN,https://www.indeed.com/rc/clk?jk=37f30a925ef69e04&fccid=79d1c29014ea06c2&vjs=3
Software Engineer,RETROTAX,Indianapolis IN,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B30-DFt3WMZc2YH1O8djAXdI3moKQ4dBjChejOc_Vm7fceQb92-Ricekz2adpNtahcCvuukgMSzucpcWLY5X6Zpnko2QE-3rTBqZIWJa6DrepyOv9Z1oAZXRVycpKwb7hu1RUbSAzU9xtiCQ76QZsQHPyp8AZbJUKawx_iMueU0aHnBWDft5WRuuEVeOO_wYm2imgrwLClApeADbrxz4Os3yiqzFTlvRGdpwt923J4d3qysfVXREFVLbXgOmBsq8uNWUiuASPgYzntiiW4oekag7XHpa9Zck1_G-7XrmwqNKtZBHfKDZJ2UUAZAEib06hmDJKn37GP_3Or2gt4uaJxtOXamgF5u4QajwotlK8EsYdZqBvUu3aea-p5K7u7guUasGlDSTw3rcVpaKHVjvsHfwIIXQkmOjKEGp4Zt9fZYAsldHyNRn8vHmNh2iMl0B8=&p=16&fvj=1&vjs=3
Puppet\Ansible Sr. Engineer with Secret Clearance,EIDOS Technologies,Indianapolis IN 46204,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bu3x137pJLz1rTrTgPjwrxj0mfh3vQmnASWysnmpKcNN6bQqdDOJQ30fDDXViMC0p9XPRQgStk3XSvRGmdMFt3jYFnoeZwYAJHNSXZwxr4B8sGowuzypuGJXHYRHNeXOJX672DeQ7_5PWRWgk7aWZYF8T0wGhai1CJs_vEYRptJ9p2MGbW2fNvpS6g5-Hgie5N8KILIlZiHlC6CEJpXlJrWxviJ1vgmVqrDsxw-8fN6VM5gZHM9JZGGYkgSS3e-q7gO0vZpNDjzVnX5DEEmY_0KvAZTD586Lv6qAawYIgatd29YR4gesLE8t5SCcV0kD_XjoO1nuGyz8123BxQxgtRhPga47xjXHrcns3GEL17crOuBL02F-XemsTIrSWFs4XAFrM-T46uyp-lZBt4to1Vcbonf9Xwtf9YtJcALzompX0-hf-k8mEPgV1Js_LAarPu8WMwt6cPTx6otiRshKJSoAa4DPtCGB4=&p=17&fvj=1&vjs=3
